Sl No,Project Name,Promoter,Completion Date,Extension 1,Extension 2,Extension 3,Address,Area (sqm),Units,Matched Locality,Nearest Metro Station,Distance to Metro (km),Within 4km,Google Maps
408,KNS AADRIKA,KNS Infrastructure Private Limited,16-01-2025,,,,"Dodderi Village, Tavarekere Hobli, Bengaluru South Taluk,",,,tavarekere,Vajrahalli,4.4,No,"https://www.google.com/maps/search/?api=1&query=12.83,77.555"
426,COMFORT LALBAGH RESIDENCY,M R COMFORT,20-01-2025,,20-01-2023 - 20-01-2024,20-01-2024 - 20-01-2025,"NO. 147, SIIDAPURA 1ST BLOCK, JAYANAGAR,, BANGALORE",459,13,jayanagar,Yelachenahalli,2.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.9279,77.5848"
537,SHELL SAPPHIRE,SHELL PROMOTERS AND INFRA LLP,07-02-2025,,,,"Survey No. 79/2A1, Doddanagamangala Villege,  , Begur Hobli Bangalore South Taluk",99,,doddanagamangala,Yelachenahalli,9.88,No,"https://www.google.com/maps/search/?api=1&query=12.858,77.653"
441,1 Lakh Multi Storey Bengaluru Housing Programme,Rajiv Gandhi Housing Corporation Ltd,20-02-2025,,,,"Sy No.28, Muddayanapalya, Taverekere  , Bengalore South, Sy No.28, Muddayanapalya, Taverekere  , Bengalore South",,,muddayanapalya,Vajrahalli,2.99,Yes,"https://www.google.com/maps/search/?api=1&query=12.84,77.547"
494,Construction of 1293 Dus at Kenchanapura Sy.No.63,Rajiv Gandhi Housing Corporation Limited,20-02-2025,,,,"Sy.No.63, Kenchanapura, Kengeri Hobli, ,  Bengaluru South Taluk, Bengaluru",,,kenchanapura,Silk Institute,0.73,Yes,"https://www.google.com/maps/search/?api=1&query=12.8438,77.5005"
400,PRESTIGE PRIMROSE HILLS-PH-I,PRESTIGE ESTATES PROJECTS LIMITED,28-02-2025,31-05-2024 - 28-02-2025,,,"Katha No.1/2/3,7/3,7/5,7/10/7/4/7/2/7/6, Ward No.198,, Uttarahalli Manavarthe Kaval, Rajarajeshwarinagar Zone",,,rajarajeshwarinagar,Attiguppe,2.76,Yes,"https://www.google.com/maps/search/?api=1&query=12.96,77.5"
468,SAIBYA SUNDEW,SAIBYA HOMES LLP,28-02-2025,,,,"Sy No 61/7  YELENAHALLI , Begur Main Road",92.2,,yelenahalli,Yelachenahalli,5.28,No,"https://www.google.com/maps/search/?api=1&query=12.887,77.621"
536,RAGAM MELODIES,RT VENTURES,30-03-2025,,,,"Sy.No. 115/1 & 116/1, Begur Village, Begur Hobli, Bangalore South Taluk  , known as RAGAM GARDENS",,,ragam gardens,Yelachenahalli,5.43,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.61"
58,MAHAVEER RANCHES PHASE II,REDDY SHELTERS PRIVATE LIMITED,31-03-2025,31-12-2020 - 30-09-2021,30-09-2021 - 30-09-2022,30-09-2022 - 31-03-2025,"MAHAVEER RANCHES, SY. NO. 4/1, NAGANATHAPURA, , BEGUR HOBLI",140.2,3,naganathapura,Yelachenahalli,4.95,No,"https://www.google.com/maps/search/?api=1&query=12.876,77.61"
83,MAHAVEER SITARA,SITARA DEVELOPERS PRIVATE LIMITED,31-03-2025,30-04-2020 - 30-01-2021,30-01-2021 - 30-10-2021,30-10-2021 - 31-03-2025,"MAHAVEER SITARA, SY. NO. 34/2, PUTTENAHALLI VILLAGE, AREKERE SUB DIVISION",146.4,6,puttenahalli,Yelachenahalli,0.57,Yes,"https://www.google.com/maps/search/?api=1&query=12.9022,77.5796"
257,MAHAVEER CARNATION,RED CORAL PROPERTIES,31-03-2025,31-10-2021 - 31-07-2022,30-07-2022 - 30-07-2023,30-07-2023 - 31-03-2025,"SY. NO. 34/2, BBMP KATHA NO. 16/34/2, TALAGATTAPURA VILLAGE",98.8,,talagattapura,Thalaghattapura,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8479,77.5147"
277,MAHAVEER TRIDENT,REDDY STRUCTURES PRIVATE LIMITED,31-03-2025,31-12-2021 - 30-09-2022,30-09-2022 - 30-09-2023,30-09-2023 - 31-03-2025,"BBMP WARD NO. 192, KHATHA/SURVEY NO. 708/28/1, 28/6, BASAPURA VILLAGE, BEGUR HOBLI",,,basapura,Yelachenahalli,5.23,No,"https://www.google.com/maps/search/?api=1&query=12.878,77.615"
409,CANVAS AND COVE PHASE 1 WING C AND D,APG Habitat Private Limited,31-03-2025,,,,"149/1 149/3 149/4 149/5 149/6149/7 PART150,  BEGUR VILLAGE BEGUR HOBLI",77.7,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
484,VKR PARADISE,VKR INFRA,31-03-2025,,,,"VKR Paradise Sy.no 82, Behind sculpture park BSK 6th stage,  , 1st Block, BHCS Layout, Uttarahalli Hobli,",89,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
534,OAKVILLE,MH Properties,31-03-2025,,,,"Sy No.165/7, 166/5 and 172, Tharalu Village , Uttarahalli Hobli",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
535,Bonitas Landmark,Bonitas Developers &  Builders,31-03-2025,,,,"01/02/8/1, Thalaghattapura Village, Uttarahalli Hobli,  , Bangalore South Taluk",150.6,2,thalaghattapura,Thalaghattapura,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8479,77.5147"
305,Mantri Tranquil,Mantri Developers Private Limited,30-04-2025,31-07-2024 - 30-04-2025,,,"Survey NO 7/P,9/P & 13/P of Gublala Village, , Uttarahalli Hobli Kanakapura Road",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
368,JCSV PRIDE,JCSV BUILDERS & DEVELOPERS,30-04-2025,31-07-2024 - 30-04-2025,,,"Site NO 11/2, Kembathalli , Uttarahalli hobli, Bangalore south Tq",98.2,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
543,C R Serenity,C R Builders,15-05-2025,,,,"Katha No. 259, Sy. No. 324, Begur Village , Begur Hobli, Bangalore Ward No. 192",100.3,,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
539,RAJARSHI GREEN CITY,Rajarshi Developers Pvt Ltd,30-05-2025,,,,"SY. NO. 52/1 OF DODDERI VILLAGE , TAVAREKERE HOBLI",,,tavarekere,Vajrahalli,4.4,No,"https://www.google.com/maps/search/?api=1&query=12.83,77.555"
553,GARUDADRI GARDENS,SRI GARUDADRI CONSTRUCTIONS,10-06-2025,,,,"SY. NO. 63/4 AND SY. NO. 63/6, KATHA NO.1509/SY.NO.63/4 & 1511/SY.NO.63/6 , HEMMIGEPURA, KENGERI ZONE",98.9,,hemmigepura,Thalaghattapura,1.08,Yes,"https://www.google.com/maps/search/?api=1&query=12.85,77.505"
567,Sanjeevini II,MBSR Infrastructure Pvt. Ltd.,10-06-2025,,02-12-2024 - 10-06-2025,,"Sy No.70, Byalalu , Tavarekere Hobli, Bengaluru South, Bengaluru",,,tavarekere,Vajrahalli,4.4,No,"https://www.google.com/maps/search/?api=1&query=12.83,77.555"
548,E Golden Heights,SHREE KRISHNA BUILDERS AND DEVELOPERS,25-06-2025,,,,"Sy No.48/7, Konappana Agrahara, , Begur hobli Bangalore South.",432,1,konappana agrahara,Yelachenahalli,5.23,No,"https://www.google.com/maps/search/?api=1&query=12.878,77.615"
325,Provident Equinox 2,Provident Housing Limited,30-06-2025,30-09-2022 - 30-03-2023,30-06-2023 - 30-06-2024,30-06-2024 - 30-06-2025,"Sy No 25 and 26 Venkatapura Village , Kengeri Hobli",72,,venkatapura,Silk Institute,2.14,Yes,"https://www.google.com/maps/search/?api=1&query=12.848,77.485"
401,PRESTIGE PRIMROSE HILLS PH-2,PRESTIGE ESTATES PROJECTS LIMITED,30-06-2025,30-09-2024 -,,,"Katha No.1/2/3/7/3,7/10/7/4/7/2/7/6, Uttarahalli Manavarthe Kaval, Ward No.198, Rajarajeshwarinagar Zone",102.6,,rajarajeshwarinagar,Attiguppe,2.76,Yes,"https://www.google.com/maps/search/?api=1&query=12.96,77.5"
482,PLATINUM GREENFIELDS,SAI PROPERTIES,30-06-2025,,,,"Sy 80, Kembathahalli, Uttarahalli Hobli",109.8,,kembathahalli,Doddakallasandra,0.38,Yes,"https://www.google.com/maps/search/?api=1&query=12.8802,77.5463"
574,ARKHA SANCTUARY,ARKHA DEVELOPERS,30-06-2025,,,,"Katha No. 198, Sy. No. 82 , Uttarahalli Village",107.2,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
601,AMIDST NATURE,CLIMATE CONNECTIONS,20-07-2025,,,,"SY NO.263/1, SY NO. 263/2, SY NO. 263/3, SY NO. 264/2, SY NO. 264/3, SY NO. 265/7, KAGGALIPURA VILLAGE, UTTARAHALI HOBLI",,,kaggalipura,Kengeri,2.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.812,77.502"
538,MELROSE,BRICK CULTURE HOUSING LLP,24-07-2025,,,,"SY. No.53/1, 53/2, 54/5 and 54/6 at Nimbekaipura Village,  , Bidarahalli Hobli, Bangalore East Taluk",,,bidarahalli,Yelachenahalli,20.25,No,"https://www.google.com/maps/search/?api=1&query=12.985,77.745"
540,RAINBOW VISTAS,Rainbow Properties,31-07-2025,,,,"Sy. No. 131, Uttari Village, Uttarahalli Village, Bangalore South, Bangalore",,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
558,NISARGA RESIDENCY,G R INFRA,31-07-2025,,,,"SY. NO. 264/2, KATHA NO. 895/264/2 , KENGERI - KODIPALYA VILLAGE",103.5,,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
592,WILDERWOOD BY REOZONE,SRI PRAKASHANATH SWAMIJI,31-07-2025,,,,"Sy.No.168, 169, 170 And 171 of Kumbalagudu Village , Kengeri Hobli, Bengaluru South Taluk",,,kengeri,Kengeri,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8274,77.4822"
572,Arohana Serenity,Nagaraja B,19-08-2025,,,,"Sy.Nos.1/3, 1/4, 3/1, 3/2, 3/3, 4/1, 4/2, 4/3, 4/4, , Maligondanahalli village, Kengeri Hobli",,,maligondanahalli,Silk Institute,0.7,Yes,"https://www.google.com/maps/search/?api=1&query=12.838,77.495"
404,ISR INDRAPRASTHA,ISR CONSTRUCTIONS PRIVATE LIMITED,30-08-2025,30-11-2023 - 30-08-2024,30-08-2024 - 30-08-2025,,"KATHA NO 279 , SY NO 115/4,5,6,7,8, WARD NO 192 BEGUR VILLAGE",169,74,begur,Yelachenahalli,6.04,No,"https://www.google.com/maps/search/?api=1&query=12.87,77.618"
370,KRISHNA RESIDENCY,SREE VENKATESHWARA BUILDERS,31-08-2025,,,,"SY NO 12/5, 3RD B MAIN ROAD, JUDICIAL LAYOUT PHASE - 2   , TALAGHATTAPURA",,,talaghattapura,Thalaghattapura,0.0,Yes,"https://www.google.com/maps/search/?api=1&query=12.8479,77.5147"
387,PURSUIT OF HAPPINESS,MUPPIRI DEVELOPERS,01-09-2025,01-12-2024 - 01-09-2025,,,"SY NO 172/2 AND 172/4  KOTHANURU VILLAGE, UTTARAHALLI HOBLI",104.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
81,Pinegrove,Janapriya Engineers Syndicate Private Limited,30-09-2025,31-12-2024 - 30-09-2025,,,"Sy. No. 78/6 & 79/1 , Doddanagamangala village, Begur hobli",109.3,,doddanagamangala,Yelachenahalli,9.88,No,"https://www.google.com/maps/search/?api=1&query=12.858,77.653"
84,SNN Raj Grandeur,SNN Builders Pvt Ltd,30-09-2025,31-12-2021 -,30-09-2022 - 30-09-2023,30-09-2023 - 30-09-2025,"NO.326/309/252, Bommanahalli Village, Begur Hobli,  Bangalore South Taluk, Hongasandra,Ward No.189, BANGALORE.",115.3,,bommanahalli,Yelachenahalli,5.06,No,"https://www.google.com/maps/search/?api=1&query=12.896,77.622"
343,NARYA BREATH FRESH,NARYA CONSTRUCTIONS PVT LTD,30-09-2025,31-12-2024 - 30-09-2025,,,"Katha No.85/Sy No.26/2/323/43, Kembattahalli Village, Uttarahalli Hobli, Bangalore South Taluk, Katha No.85/Sy No.26/2/323/43, Kembattahalli Village, Uttarahalli Hobli, Bangalore South Taluk",111.2,,kembattahalli,Doddakallasandra,0.38,Yes,"https://www.google.com/maps/search/?api=1&query=12.8802,77.5463"
365,SIPANI PENNANTIA,sipani properties pvt ltd,30-09-2025,31-12-2024 -,,,"Sy No 54 -1 -2-3 and 4  of  GOTTIGERE  village  , uttarahalli hobli Bangalore south taluk",109.4,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
376,Mahaveer Rarus,REDDY STRUCTURES PRIVATE LIMITED,30-09-2025,,,,"Sy. No 25/1, Sarakki kere,Puttenahalli , J P Nagar 7th Phase",132,8,puttenahalli,Yelachenahalli,0.57,Yes,"https://www.google.com/maps/search/?api=1&query=12.9022,77.5796"
507,4 SQUARE WHITE PETALS,4 SQUARE REALTY,30-09-2025,,,,"Sy No. 129/5, 129/6, 129/7 and 129/8, Javaregowda Doddi , Hosakerehalli Village, Uttarahalli Hobli, Bangalore",95.2,,javaregowda doddi,Doddakallasandra,1.27,Yes,"https://www.google.com/maps/search/?api=1&query=12.8862,77.5408"
508,SAI NANDANA MARVELLA,SAI NANDANA PROPERTIES,30-09-2025,,,,"BBMP KHATHA NO 117/433/65/1/434/432,  , KEMBATHAHALLI VILLAGE, UTTARAHALLI HOBLI, BANGALORE SOUTH TALUK, WARD NO 196",100.6,,kembathahalli,Doddakallasandra,0.38,Yes,"https://www.google.com/maps/search/?api=1&query=12.8802,77.5463"
524,SHIVAGANGA AR PRAKRUTHI,M/s. Prakruthi Properties,30-09-2025,,,,"KHATHA NO.1188/19/1 & 19/2 & 19/3/20/4 & 20/5 , AREAHALLI VILLAGE, UTTARAHALLI HOBLI",98.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
555,ELITE BROOKVALE,ELITE INFRASTRUCTURES,31-10-2025,,,,"No. 61/1A7, Near ST. Mary's Nirmalagiri School , Uttarahalli Kengeri Main Road, Adjacent to BGS Hospital",105.2,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
388,ADARSH STRATUSS PHASE 1,M/s Adarsh Developers,28-11-2025,28-02-2024 - 28-11-2024,28-11-2024 - 28-11-2025,,"Khata NO.1224,Survey no 18 / 2A / 1, Sarakkikere Village, Uttarahalli Hobli , Ward no 187.BANGALORE  - 560078",162.1,50,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
590,BRHAT VALLEY PARK,P CHANDRA,01-12-2025,,,,"Sy No. 127/1(P), 131/1(P) and 131/2 Situated at Kambipura Village , Kengeri Hobli",,,kambipura,Vajrahalli,3.75,Yes,"https://www.google.com/maps/search/?api=1&query=12.883,77.504"
586,VAISHNODEVI INDUSTRIAL PARK,Vaishnodevi Lush Greens Private Limited,30-12-2025,,,,"Sy Nos 41/1, 41/2, 41/3, 41/4, 41/5,41/6,41/7 Situated in Thagachiguppe Village,  , Kengeri Hobli, Bangalore South Taluk, Bangalore",,,thagachiguppe,Kengeri,1.56,Yes,"https://www.google.com/maps/search/?api=1&query=12.82,77.47"
113,Gopalan Olympia,Gopalan Enterprises,31-12-2025,,30-06-2020 - 30-06-2021,30-06-2021 - 31-12-2025,"Sl. No. 470, Sy. No. 30/4, 31/1,  32, Kumbalgodu Gram Panchayat",89.3,,kumbalgodu,Kengeri,4.25,No,"https://www.google.com/maps/search/?api=1&query=12.863,77.468"
391,OZONE CHAMBERS,ITALIX LIVING SPACES PVT LTD,31-12-2025,30-09-2020 - 30-03-2021,30-09-2019 - 30-09-2020,30-06-2021 - 31-12-2025,"New municipal no.395,Roopena Agrahara Village, Begur Hobli, Bangalore South Taluk",,,roopena agrahara,Yelachenahalli,5.01,No,"https://www.google.com/maps/search/?api=1&query=12.88,77.614"
456,M5 E-city mall,Mahendra Sivepillars LLP,31-12-2025,,,,"Plot No. 1 in Veerasandra Industrial Area Situated in Sy No. 17,18,19 & 20, Veerasandra ,, Hosur  Road, Attibele Hobli, Anekal Taluk, Bangalore",,,attibele,Yelachenahalli,22.83,No,"https://www.google.com/maps/search/?api=1&query=12.79,77.75"
495,VG BOAT CLUB,VINAYAKAIAH BUILDERS AND DEVELOPERS PVT LTD,31-12-2025,,,,"PID No. SITE/KATHA NO 389/3165/57/2 ,""RAMANASHREE NAGAR"", , GOTTIGERE VILLAGE, UTTARAHALLI HOBLI",88,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
514,K&T'S SAI SANNIDHI,K & T Constructions,31-12-2025,,,,"KATHA NO. 898/55, 60/2, 60/3, SY NO. 55, 60/2 & 60/3, BASAPURA VILLAGE, , BEGUR HOBLI, (WARD NO. 192)",97.3,,basapura,Yelachenahalli,5.23,No,"https://www.google.com/maps/search/?api=1&query=12.878,77.615"
530,USR SUSOWDHA,USR BUILDERS AND DEVELOPERS,31-12-2025,,,,"Survey Number 53/3 (Old Survey Number 53/1) , GOLLAHALLI VILLAGE, Uttarahalli Hobli, Bangalore South Taluk",108.3,,uttarahalli,Doddakallasandra,1.41,Yes,"https://www.google.com/maps/search/?api=1&query=12.89,77.55"
542,SUNRISE ROYAL VISTA,Sunrise Developers and Constructions,31-12-2025,,,,"Sy No.54/3, Channasandra, Uttarahalli Hobli , Bangalore South Taluk,",100,,channasandra,Konanakunte Cross,1.67,Yes,"https://www.google.com/maps/search/?api=1&query=12.893,77.548"
549,VATAVARANA REALTY,M/s VATAVARANA REALTY,31-12-2025,,,,"VATAVARANA Sy. 75/1, 75/2, 75/3, Maligondanahalli Village, Kengeri Hobli, Bangalore South Taluk, Bangalore - 560060 , VATAVARANA Sy. 75/1, 75/2, 75/3, Maligondanahalli Village, Kengeri Hobli, Bangalore South Taluk, Bangalore - 560060",,,maligondanahalli,Silk Institute,0.7,Yes,"https://www.google.com/maps/search/?api=1&query=12.838,77.495"
