1	Adarsh Premia - Phase 1	Adarsh Developers	31-03-2027	Ward No.55, Municiple No.3(Old No 52/1A, 56/2,57 & 53,), No 3, Kadirenahalli, Outer ring road,  Banashankari,	153.1
2	The Magic Faraway Tree Phase 2	Total Environment Building Systems Pvt Ltd	30-09-2027	Survey no 32 part1 and 33 part 1 and 33 part 2 Kanakapura Road, Tallaghattapura	246
3	MAHAVEER RANCHES PHASE II	REDDY SHELTERS PRIVATE LIMITED	31-03-2025	MAHAVEER RANCHES, SY. NO. 4/1, NAGANATHAPURA, , BEGUR HOBLI	140.2
4	Pinegrove	Janapriya Engineers Syndicate Private Limited	30-09-2025	Sy. No. 78/6 & 79/1 , Doddanagamangala village, Begur hobli	109.3
5	MAHAVEER SITARA	SITARA DEVELOPERS PRIVATE LIMITED	31-03-2025	MAHAVEER SITARA, SY. NO. 34/2, PUTTENAHALLI VILLAGE, AREKERE SUB DIVISION	146.4
6	SNN Raj Grandeur	SNN Builders Pvt Ltd	30-09-2025	NO.326/309/252, Bommanahalli Village, Begur Hobli,  Bangalore South Taluk, Hongasandra,Ward No.189, BANGALORE.	115.3
7	Gopalan Olympia	Gopalan Enterprises	31-12-2025	Sl. No. 470, Sy. No. 30/4, 31/1,  32, Kumbalgodu Gram Panchayat	89.3
8	CHAMUNDI AMBERWOODS	CHAMUNDI BUILDERS	30-05-2026	CHAMUNDI BUILDERS, 26 CHAMUNDI MANSION, 22ND MAIN ROAD, JP NAGAR II PHASE, BANGALORE, CHAMUNDI BUILDERS, 26 CHAMUNDI MANSION, 22ND MAIN ROAD, JP NAGAR II PHASE, BANGALORE	129
9	VISTAAS	SONA HEIGHTS	01-09-2026	SURVEY NO 314/2, 314/1, 314/7,375/1, BEGUR VILLAGE, BEGUR HOBLI	127.3
10	TG Heritage	T G DEVELOPERS	31-12-2027	178,179, chikkanagamangala village, Anekal taluk, sarjapur hobli, off Hosa Road	90.2
11	MAHAVEER CARNATION	RED CORAL PROPERTIES	31-03-2025	SY. NO. 34/2, BBMP KATHA NO. 16/34/2, TALAGATTAPURA VILLAGE	98.8
12	Sowparnika Pranathi	SOWPARNIKA PROJECTS AND INFRASTRUCTURE PRIVATE LIMITED	30-09-2025	Sy. No. 28/17, Re - Sy. No. 28/17-A, Kumbalagodu Village, Kengeri Hobli, Bangalore South Taluk	56.7
13	MAHAVEER TRIDENT	REDDY STRUCTURES PRIVATE LIMITED	31-03-2025	BBMP WARD NO. 192, KHATHA/SURVEY NO. 708/28/1, 28/6, BASAPURA VILLAGE, BEGUR HOBLI
14	The Magic Faraway Tree Phase 2a	Total Environment Building Systems Pvt Ltd	30-09-2026	Survey no 32 part1 and 33 part 1 and 33 part 2, Kanakapura Road Tallaghattapura	156
15	Gopalan Florenza	GOPALAN ENTERPRISES	24-01-2026	KATHA NO: 422/16/2/22 (SY.NO.16/2&22), GANAKALLU VILLAGE, KENGERI HOBLI, BANGALORE SOUTH TALUK	110.9
16	PICCASSSO	Rajarajeshware Buillcon pvt ltd	30-07-2026	Muncipal no.152,153,154,155,157,158,159 and 160,18th MAIN RD,9th BLOCK JAYANAGAR BANGALORE., Muncipal no.152,153,154,155,157,158,159 and 160,18th MAIN RD,9th BLOCK JAYANAGAR BANGALORE.	151.2
17	Mantri Tranquil	Mantri Developers Private Limited	30-04-2025	Survey NO 7/P,9/P & 13/P of Gublala Village, , Uttarahalli Hobli Kanakapura Road
18	Sumukha Silverstone	Sumukha Ventures	31-03-2026	130/1, Doddakammanahalli Main Road, Begur Hobli, Bangalore south	102.5
